,X,Y,OBJECTID,GLOBALID,FIREOCCURID,CN,REVDATE,FIRENAME,COMPLEXNAME,FIREYEAR,UNIQFIREID,SOFIRENUM,LOCALFIRENUM,REPORTINGUNIT,DISCOVERYDATETIME,SIZECLASS,TOTALACRES,STATCAUSE,COMMENTS,DATASOURCE,FIREOUTDATETIME,OWNERAGENCY,UNITIDOWNER,PROTECTIONAGENCY,UNITIDPROTECT,LATDD83,LONGDD83,FIRETYPECATEGORY,POINTTYPE,PERIMEXISTS,FIRESTATQC,DBSOURCEID,DBSOURCEDATE
84496,-106.0222222,36.58722222,329492433,{F81FEF57-1C99-4E7E-9EA2-C696C025D649},8A6052CA-D2E2-49DB-9EB0-97B7F29548A9,6799842,2018/02/28 10:26:16+00,Hondito,,2017,2017-NMCAF-000111,4,111,302,2017/05/15 19:55:00+00,G,7020,1 - Lightning,,23,2017/08/02 13:00:00+00,USFS,NMCAF,USFS,NMCAF,36.58722,-106.02222,WF,Ignition, , ,302,2020/09/11 04:13:55+00
84613,-106.3876022,36.48081846,329492550,{05597688-65D8-48C5-9F16-E658F74FAC7A},59f735c9-350f-4b47-8104-7f2f4559c8bb,6981133,2020/01/21 08:22:42+00,Montoya Springs,,2019,2019-NMCAF-000466,466,1,302,2019/08/29 11:11:00+00,F,2950,1 - Lightning,,23,2019/10/02 14:45:00+00,USFS,NMCAF,USFS,NMCAF,36.47972,-106.39111,WF,Ignition,Y,Yes,302,2020/09/11 04:13:55+00
84614,-105.5952778,36.20027778,329492551,{C944763E-59F1-45CA-BBA5-8F055A9B5AFE},b576507d-ef72-483d-bc19-851635df6ff6,6970347,2020/01/21 08:22:42+00,Amole,,2019,2019-NMCAF-000479,479,7,302,2019/09/02 16:32:00+00,F,1954,1 - Lightning,,23,2019/11/01 12:00:00+00,USFS,NMCAF,USFS,NMCAF,36.20028,-105.59528,WF,Ignition,Y,Yes,302,2020/09/11 04:13:55+00
85654,-107.358,35.49744,329493591,{A3CDDDCD-60DB-46BA-A3B2-1C32FB0DB8BF},,,2018/03/29 00:00:00+00,Escondido,,2017,2017-NMCIF-000335,69,335,303,2017/09/16 16:16:00+00,F,1200,0 - Unknown,, ,,USFS,NMCIF,USFS,NMCIF,0,0,WF, , ,No,303,2020/09/11 04:14:10+00
85856,-107.5272,35.345278,329493793,{A72DA3EC-E9BD-4350-9498-D96CC550877D},9ef373be-a6be-47eb-83c3-1f513320c8ec,IRWIN,2020/03/02 00:00:00+00,Triple nickle,,2019,2019-NMCIF-000199,45,199,303,2019/08/04 15:28:00+00,G,8063,0 - Unknown, ,23,2019/10/04 08:55:00+00,USFS,NMCIF,USFS,NMCIF,35.34528,-107.5272,WF,Ignition,Y,No,303,2020/09/11 04:14:11+00
85958,-102.6519807,36.45509747,329493895,{47408D11-68F7-411E-8B15-F9365F4FE0D1},,1494355,1999/11/30 00:00:00+00,296,,2011,2011-NMCIF-000024,,24,303,2011/05/24 00:00:00+00,G,15280,9 - Miscellaneous,,2,,USF,,,,36.4551,-102.65198,WF, , , ,303,2020/09/11 04:14:11+00
86038,-104.1792,36.21814,329493975,{AEA9E561-E055-4432-9C1C-CB53E07179E1},4ce4ed1b-a897-4a6f-8935-75dbdfcb80fb,IRWIN,2019/03/25 14:00:23+00,Chicosa,,2018,2018-NMCIF-000267,43,3,303,2018/06/12 18:20:00+00,E,597,1 - Lightning,,23,2018/06/12 22:00:00+00,USFS,NMCIF,USFS,NMCIF,36.21814,-104.1792,WF,Ignition,Y,NO,303,2020/09/11 04:14:12+00
86273,-99.5419,35.81944,329494210,{177C0E43-BF56-414F-BF4A-CA8E29D4D95D},,1485154,1999/11/30 00:00:00+00,'RED STAR',,2010,2010-NMCIF-000005,,5,303,2010/04/03 00:00:00+00,E,584,5 - Debris Burning,,23,,USF,,,,35.81944,-99.5419,WF, , , ,303,2020/09/11 04:14:13+00
86288,-102.5700675,36.29329633,329494225,{B42B03FD-A3B5-42A3-9EAB-8EC454866ABF},,1493799,1999/11/30 00:00:00+00,Pritchard,,2011,2011-NMCIF-000014,,14,303,2011/04/19 00:00:00+00,G,11009,9 - Miscellaneous,,23,,USF,,,,36.2933,-102.57007,WF, , , ,303,2020/09/11 04:14:13+00
86469,-107.4555556,33.75611111,329494406,{ACAB0A17-FD12-4C57-B454-F68C3D73114E},,6318280,1999/11/30 00:00:00+00,Red Canyon Fire,,2015,2015-NMCIF-000018,18,18,303,2015/06/15 00:00:00+00,G,17843,1 - Lightning,,23,,USF,,,,33.75611,-107.45556,WF, , , ,303,2020/09/11 04:14:14+00
86862,-107.315,35.4775,329494799,{28B3D2D3-A83D-43A2-9625-3F65FBBCED1D},71870540-9d2a-40cd-90b2-5c8f3da4304e,6920520,2019/03/25 14:00:18+00,Mariposa,,2018,2018-NMCIF-000382,65,19,303,2018/07/29 15:04:00+00,E,957,1 - Lightning,,23,2018/09/20 11:11:00+00,USFS,NMCIF,USFS,NMCIF,35.4775,-107.315,WF,Ignition,Y,Yes,303,2020/09/11 04:14:17+00
87105,-99.90808054,35.62504292,329495042,{52A0E89E-0B30-4AD1-80D4-0A6414BCFC5C},,1496690,1999/11/30 00:00:00+00,Junction Ok,,2011,2011-NMCIF-000084,,84,303,2011/08/02 00:00:00+00,E,692,9 - Miscellaneous,,23,,USF,,,,35.62504,-99.90808,WF, , , ,303,2020/09/11 04:14:18+00
87616,-102.2203877,36.38971593,329495553,{103C5666-A3FE-441C-BED2-8E19041A0040},,1502702,1999/11/30 00:00:00+00,Gillemwater,,2012,2012-NMCIF-000001,,1,303,2012/02/25 00:00:00+00,F,1150,5 - Debris Burning,,23,,USF,,,,36.38972,-102.22039,WF, , , ,303,2020/09/11 04:14:21+00
87673,-108.1344875,35.18385448,329495610,{14F39CFC-DCD6-41D3-9CCA-A1D266385C91},d3f08593-bb5e-4125-9c65-d7b7eb6d62af,6918455,2019/03/25 14:00:17+00,Diener canyon,,2018,2018-NMCIF-000105,12,4,303,2018/04/12 17:03:00+00,G,9338,9 - Miscellaneous,,23,2018/07/13 09:00:00+00,USFS,NMCIF,USFS,NMCIF,35.18389,-108.135,WF,Ignition,Y,Yes,303,2020/09/11 04:14:22+00
87939,-104.2977,35.94667,329495876,{6EF3602D-A644-4D85-82DE-A9F6563A2F27},01b2b815-ffed-44b0-aa7d-2f022248c279,,2019/03/25 14:00:17+00,Blanco,,2018,2018-NMCIF-000288,44,6,303,2018/06/22 17:56:00+00,F,2024,1 - Lightning,,23,2018/07/18 09:00:00+00,USFS,NMCIF,USFS,NMCIF,35.94667,-104.2977,WF,Ignition,Y,Yes,303,2020/09/11 04:14:23+00
